"customers","total_orders","total_return","cx_category"
"Grace King","5","0","New"
"Chloe Turner","8","0","New"
"Olivia Reed","188","0","New"
"Benjamin Harris","5","0","New"
"Iris Richardson","7","0","New"
"Wanda Martin","3","0","New"
"Victoria Davis","80","0","New"
"Zackary Harris","2","0","New"
"Zackary Green","8","0","New"
"Yara Clark","4","0","New"
"Yara Lee","2","0","New"
"Yvonne Scott","197","0","New"
"Quinn Harris","107","0","New"
"Iris Davis","3","0","New"
"Alicia Smith","262","0","New"
"Henry Johnson","76","76","Returning_customers"
"Alicia Mitchell","4","0","New"
"William Green","3","0","New"
"Victor Johnson","5","0","New"
"Olivia Smith","6","0","New"
"Patrick Rogers","109","0","New"
"Quinn Adams","3","0","New"
"Peter Reed","10","0","New"
"Patrick Smith","87","0","New"
"Isabella Brown","103","0","New"
"Liam Watson","3","0","New"
"Xavier Davis","93","0","New"
"Tina Reed","6","0","New"
"Karen Reed","4","0","New"
"Ulysses Clark","8","0","New"
"Victoria Lewis","9","0","New"
"Tara Turner","2","0","New"
"Ursula Scott","97","0","New"
"Yvonne Harris","4","0","New"
"Mia Collins","80","80","Returning_customers"
"Emma Scott","11","0","New"
"Felix Smith","102","0","New"
"Rachel Adams","6","0","New"
"Jack Davis","187","0","New"
"Tara Harris","1","0","New"
"Gina Clark","100","0","New"
"Iris Harris","4","0","New"
"Tina Davis","13","0","New"
"Hugo Reed","4","0","New"
"Monica Green","2","0","New"
"Fred Brown","104","0","New"
"Felix Scott","113","0","New"
"Chloe Nelson","2","0","New"
"Grace Ramirez","5","0","New"
"Jack Allen","2","0","New"
"Ivy Morris","7","0","New"
"Steve Baker","6","0","New"
"Kayla Smith","3","0","New"
"Yvonne Davis","199","0","New"
"Noah Reed","7","0","New"
"Xavier Brown","98","0","New"
"Henry Martin","98","0","New"
"Tina Adams","3","0","New"
"Isla Davis","2","0","New"
"Ursula Smith","96","0","New"
"Zackary Walker","84","0","New"
"Cynthia Green","4","0","New"
"Rachel Bailey","82","0","New"
"Benjamin Adams","5","0","New"
"Paul Brown","2","0","New"
"Ursula Davis","188","0","New"
"Rachel Reed","9","0","New"
"Xavier Adams","3","0","New"
"Daniel Parker","100","0","New"
"Felix Lee","6","0","New"
"Benjamin Brown","87","87","Returning_customers"
"Zackary Johnson","96","96","Returning_customers"
"Ulysses Davis","12","0","New"
"Kelly Martinez","100","0","New"
"Tara Mitchell","84","0","New"
"Brian Davis","98","0","New"
"Grace Wilson","1","0","New"
"Cynthia Wilson","3","0","New"
"Felix Turner","9","0","New"
"Hugo King","3","0","New"
"Tara Green","6","0","New"
"Derek Adams","3","0","New"
"Henry Turner","93","0","New"
"Olivia Green","290","0","New"
"Henry Wilson","7","0","New"
"Olivia Davis","105","0","New"
"Daniel Davis","87","0","New"
"Gina Brown","97","97","Returning_customers"
"Kelly Reed","87","0","New"
"Amelia Davis","1","0","New"
"Abigail Bailey","5","0","New"
"Tara Davis","11","0","New"
"Steve Brown","2","0","New"
"Grace Reed","8","0","New"
"Derek Robinson","5","0","New"
"Alicia Scott","271","0","New"
"Carla Turner","105","0","New"
"Jake Green","3","0","New"
"Benjamin Reed","13","0","New"
"Ella Green","186","0","New"
"Derek Scott","1","0","New"
"Olivia Miller","3","0","New"
"Peter Davis","10","0","New"
"Brian Foster","87","0","New"
"Olivia Adams","5","0","New"
"Derek Taylor","4","0","New"
"Victor Scott","110","0","New"
"Samuel Turner","280","0","New"
"Daniel Reed","78","0","New"
"Karen Brown","4","0","New"
"Chloe Johnson","1","0","New"
"Mia Smith","6","0","New"
"Nathan Foster","96","0","New"
"Steve Smith","1","0","New"
"Monica Reed","6","0","New"
"Tara Walker","3","0","New"
"Samuel Moore","5","0","New"
"Emma Reed","2","0","New"
"William Martin","5","0","New"
"Daniel Smith","92","92","Returning_customers"
"Henry Smith","3","0","New"
"Ella James","3","0","New"
"Gina Turner","92","0","New"
"Abigail Johnson","88","88","Returning_customers"
"Liam King","4","0","New"
"Yvonne Green","204","0","New"
"Kelly Green","281","0","New"
"Mia Brown","103","0","New"
"Jack Johnson","100","0","New"
"Victoria Reed","3","0","New"
"Samuel Lee","3","0","New"
"Yvonne Brown","4","0","New"
"Amanda Roberts","2","0","New"
"Alicia Turner","2","0","New"
"Olivia Ward","3","0","New"
"Xavier Wilson","1","0","New"
"Benjamin Hall","4","0","New"
"Monica Turner","3","0","New"
"Derek Young","1","0","New"
"Ella Mitchell","1","0","New"
"Yvonne Smith","17","0","New"
"Emma Davis","2","0","New"
"Alicia Green","296","0","New"
"Nathan Lee","104","0","New"
"Alicia Carter","2","0","New"
"Derek Reed","3","0","New"
"Wanda Reed","6","0","New"
"Samuel Harris","95","0","New"
"Zachary Murphy","6","0","New"
"Cynthia Reed","7","0","New"
"Monica Phillips","4","0","New"
"Ella Harris","100","0","New"
"Ivy James","4","0","New"
"Xavier Harris","4","0","New"
"Quinn Scott","200","0","New"
"Steve Davis","4","0","New"
"Carla Murphy","3","0","New"
"Quinn Wilson","7","0","New"
"Abigail Davis","9","0","New"
"Carla Scott","183","0","New"
"Ulysses Lewis","4","0","New"
"Henry Watson","2","0","New"
"Cynthia Davis","5","0","New"
"Victoria Turner","5","0","New"
"Kelly Davis","283","0","New"
"Felix Carter","2","0","New"
"Hugo Smith","6","0","New"
"Gina Coleman","6","0","New"
"Steve Harris","1","0","New"
"Yara Smith","7","0","New"
"Xavier Reed","114","0","New"
"Zackary Scott","1","0","New"
"Ella Sanders","4","0","New"
"Wanda Wilson","1","0","New"
"Mona Scott","4","0","New"
"Ursula Green","253","0","New"
"Grace Scott","2","0","New"
"Abigail Reed","108","106","Returning_customers"
"Isabella Foster","4","0","New"
"Benjamin Green","9","0","New"
"Frank Bailey","89","0","New"
"Yara Scott","3","0","New"
"Cynthia Bell","3","0","New"
"Hugo Lewis","2","0","New"
"Victor Adams","101","0","New"
"Zachary Reed","3","0","New"
"Fred Johnson","2","0","New"
"Paul Adams","2","0","New"
"Jake Turner","2","0","New"
"Noah Green","2","0","New"
"Xena Smith","9","0","New"
"Karen Smith","1","0","New"
"Victor Reed","9","0","New"
"Mia Davis","249","0","New"
"Samuel Green","87","0","New"
"Xena Johnson","8","0","New"
"Olivia Wilson","3","0","New"
"Monica Wood","4","0","New"
"Wanda Harris","6","0","New"
"Ulysses Brown","5","0","New"
"Zackary Adams","2","0","New"
"Monica Scott","15","0","New"
"Zachary Scott","5","0","New"
"Olivia Johnson","5","0","New"
"Gina Foster","1","0","New"
"Ulysses Green","8","0","New"
"Olivia Turner","14","0","New"
"Iris Reed","7","0","New"
"Chloe Reed","109","0","New"
"Jake Reed","4","0","New"
"Xavier Green","10","0","New"
"Victoria Murphy","2","0","New"
"Ella Davis","195","95","Returning_customers"
"Samuel Scott","184","0","New"
"Wanda Brown","3","0","New"
"Grace Martinez","4","0","New"
"Jake Martin","5","0","New"
"Tara Reed","190","0","New"
"Liam Reed","11","0","New"
"Derek Brown","4","0","New"
"Isla Clark","102","102","Returning_customers"
"Rachel Davis","5","0","New"
"Olivia Brown","87","0","New"
"Carla Davis","288","0","New"
"Jake Scott","100","0","New"
"Grace Adams","5","0","New"
"Alicia Davis","97","0","New"
"Tara Smith","3","0","New"
"Tara Powell","5","0","New"
"Nathan Hill","3","0","New"
"Wendy Adams","101","0","New"
"Xavier Scott","5","0","New"
"Grace Turner","5","0","New"
"Ivy Hall","3","0","New"
"Chloe Rogers","4","0","New"
"Rachel Harris","4","0","New"
"Yara Davis","91","91","Returning_customers"
"Samuel Davis","102","0","New"
"Jack Reed","2","0","New"
"Zackary Brooks","6","0","New"
"Peter Scott","9","0","New"
"Henry Walker","4","0","New"
"Ella Reed","196","117","Returning_customers"
"Quinn Johnson","3","0","New"
"Rachel Brown","6","0","New"
"Quinn Davis","266","0","New"
"Iris Green","3","0","New"
"Nathan Clark","4","0","New"
"Kelly Turner","81","0","New"
"Victor Smith","3","0","New"
"Peter Green","2","0","New"
"Ursula Turner","76","0","New"
"Henry Davis","125","0","New"
"Ella Smith","5","0","New"
"Kayla Davis","3","0","New"
"Gina Scott","104","0","New"
"Noah Scott","5","0","New"
"Zachary Wilson","5","0","New"
"Mia Reed","281","0","New"
"Grace Brown","4","0","New"
"Kelly Brooks","8","0","New"
"Quinn Brown","2","0","New"
"Chloe Morris","4","0","New"
"Emily Clark","3","0","New"
"Kelly Scott","87","0","New"
"Isabella Scott","92","0","New"
"Jack Green","2","0","New"
"Grace Johnson","2","0","New"
"Rachel Bell","6","0","New"
"Hugo Brown","3","0","New"
"Olivia Lee","4","0","New"
"Mia Green","86","0","New"
"Amelia Green","8","0","New"
"Nathan Reed","98","0","New"
"Xena Davis","1","0","New"
"Kayla Reed","17","0","New"
"Liam Smith","7","0","New"
"Ulysses Reed","5","0","New"
"Steve Turner","4","0","New"
"Nathan Davis","90","0","New"
"Wendy Scott","177","0","New"
"Felix Harris","5","0","New"
"Felix Johnson","91","89","Returning_customers"
"Derek Johnson","3","0","New"
"Jake Hernandez","1","0","New"
"Ella Scott","344","0","New"
"Zackary Smith","114","0","New"
"Peter Turner","4","0","New"
"Jake Davis","10","0","New"
"Rachel Johnson","192","0","New"
"Felix Adams","3","0","New"
"Ulysses Rogers","3","0","New"
"Samuel Adams","4","0","New"
"Wanda Turner","6","0","New"
"Zackary Reed","2","0","New"
"Hugo Edwards","2","0","New"
"Chloe Green","6","0","New"
"Leo Reed","103","0","New"
"Fred Davis","96","0","New"
"Henry Harris","117","112","Returning_customers"
"Olivia Barnes","114","0","New"
"David Wilson","4","0","New"
"Yara Brown","2","0","New"
"Jake Smith","4","0","New"
"Paul Bell","4","0","New"
"Nathan Wright","8","0","New"
"Ulysses Turner","6","0","New"
"Quinn Cooper","5","0","New"
"Erin Reed","2","0","New"
"Leo Davis","91","0","New"
"Derek Clark","1","0","New"
"Iris Turner","14","0","New"
"Victor Lee","1","0","New"
"Nathan Green","5","0","New"
"Derek Turner","8","0","New"
"William Brown","4","0","New"
"Paul Smith","3","0","New"
"Wanda Davis","5","0","New"
"Victoria Smith","98","0","New"
"Gina Adams","99","0","New"
"Quinn Rogers","7","0","New"
"Xena Parker","6","0","New"
