"state","customers","total_orders","total_sale","rank"
"Indiana","Liam King","4","10269.939999999999","2"
"Indiana","Derek Adams","3","1988.95","3"
"Indiana","Jack Parker","1","99.99","4"
"Indiana","Amelia Davis","1","59.96","4"
"Iowa","Mona Scott","4","1469.92","1"
"Iowa","Brian Brown","3","1449.95","2"
"Iowa","Hugo Lewis","2","509.95000000000005","3"
"Iowa","Erin Reed","2","2649.9799999999996","3"
"Kansas","Nathan Wright","8","4009.87","1"
"Kansas","Ivy Morris","7","3809.9199999999996","2"
"Kansas","Cynthia Green","4","2859.8500000000004","3"
"Kansas","Liam Watson","3","2589.91","4"
"Kansas","Fred Johnson","2","5699.969999999999","5"
"Kentucky","Olivia Adams","5","2289.9","1"
"Kentucky","Monica Wood","4","2329.9099999999994","2"
"Kentucky","Grace Brown","4","3395.9500000000003","2"
"Kentucky","Jack Reed","2","479.93999999999994","3"
"Kentucky","Derek Scott","1","149.99","4"
"Louisiana","Erin Davis","6","1665.9","1"
"Louisiana","Nathan Clark","4","2129.96","2"
"Louisiana","Karen King","3","318.93999999999994","3"
"Louisiana","Hugo King","3","369.94","3"
"Maine","Fred Reed","5","4619.870000000001","1"
"Maine","Quinn Rogers","4","3479.8999999999996","2"
"Maine","Ivy Scott","4","1359.91","2"
"Maine","Liam Hughes","4","1524.94","2"
"Maine","Olivia Ward","3","1659.94","3"
"Maryland","Monica King","7","4718.82","1"
"Maryland","Rachel Green","6","3129.91","2"
"Maryland","Paul Bell","4","619.94","3"
"Maryland","Grace Johnson","2","205.95999999999998","4"
"Maryland","Jack Green","2","1314.98","4"
"Massachusetts","Steve Baker","6","4875.86","1"
"Massachusetts","Quinn Cooper","5","6969.86","2"
"Massachusetts","Nathan Hill","3","1468.93","3"
"Massachusetts","Hugo Brown","3","3459.92","3"
"Massachusetts","Karen Smith","1","69.99","4"
"Michigan","Liam Davis","9","6149.869999999999","1"
"Michigan","Ivy Green","6","649.86","2"
"Michigan","Olivia Lee","4","469.9200000000001","3"
"Michigan","Tina Evans","3","599.96","4"
"Michigan","Rachel Lewis","3","621.94","4"
"Minnesota","Ulysses Parker","11","11849.81","1"
"Minnesota","Paul Martinez","5","1084.8200000000002","2"
"Minnesota","Steve Turner","4","5944.929999999999","3"
"Minnesota","Monica Reed","3","2909.95","4"
"Minnesota","Jack Davis","2","719.94","5"
"Mississippi","Victoria Turner","5","1361.89","1"
"Mississippi","Nathan Green","5","5699.9","1"
"Mississippi","Karen Brown","4","3394.96","2"
"Mississippi","Tina Martin","4","508.9200000000001","2"
"Mississippi","Quinn Scott","3","1189.92","3"
"Missouri","Rachel Bell","6","2069.91","1"
"Missouri","William Phillips","6","3271.87","1"
"Missouri","Olivia Johnson","5","2699.95","2"
"Missouri","Ulysses Lewis","4","1709.95","3"
"Missouri","Liam Smith","2","296.93999999999994","4"
"Montana","Paul Adams","2","245.95","1"
"Montana","Victoria Murphy","2","1699.98","1"
"Montana","Xena Reed","2","4212.96","1"
"Montana","Steve Harris","1","39.98","2"
"Nebraska","Tina Davis","6","4748.900000000001","1"
"Nebraska","William Reed","4","1647.91","2"
"Nebraska","Nathan Reed","3","2099.9700000000003","3"
"Nebraska","Quinn Davis","2","99.96","4"
"Nebraska","Yara Lee","2","3349.9799999999996","4"
"Nevada","Rachel Reed","7","4045.879999999999","1"
"Nevada","Zackary Brooks","6","1780.8200000000002","2"
"Nevada","Xena Parker","6","3943.8799999999997","2"
"Nevada","Ulysses Brown","5","531.87","3"
"Nevada","Olivia Smith","3","2818.9099999999994","4"
"New Hampshire","Victoria Lewis","9","4824.829999999999","1"
"New Hampshire","Abigail Bailey","5","1119.91","2"
"New Hampshire","Yara Scott","3","354.90999999999997","3"
"New Hampshire","Steve Green","2","2524.9799999999996","4"
"New Hampshire","Paul Brown","2","3899.9799999999996","4"
"New Jersey","Quinn Green","6","8200.88","1"
"New Jersey","William Martin","5","7259.900000000001","2"
"New Jersey","Benjamin Harris","5","814.9","2"
"New Jersey","Tina Adams","3","474.95000000000005","3"
"New Jersey","Zackary Adams","2","4249.96","4"
"New Mexico","Xena Johnson","8","5389.88","1"
"New Mexico","Rachel Smith","6","3298.8399999999997","2"
"New Mexico","Chloe Cooper","5","2089.9300000000003","3"
"New Mexico","Abigail Davis","3","2929.9599999999996","4"
"New Mexico","Ulysses Clark","2","738.96","5"
"New York","Jake Scott","13","8413.77","1"
"New York","Benjamin Reed","13","5037.779999999999","1"
"New York","Xavier Reed","12","15629.779999999997","2"
"New York","Noah Turner","12","8268.729999999998","2"
"New York","Liam Davis","12","7050.789999999997","2"
"New York","Liam Brown","12","7507.83","2"
"New York","Rachel Turner","11","9377.809999999996","3"
"New York","Henry Davis","11","3133.79","3"
"New York","Liam Reed","11","4332.719999999999","3"
"New York","Tara Reed","11","4743.819999999999","3"
"New York","Tara Davis","11","4693.72","3"
"New York","Jake Davis","10","3314.7799999999997","4"
"New York","Peter Reed","10","3029.8099999999995","4"
"New York","Peter Davis","10","3508.7999999999997","4"
"New York","Victor Scott","9","4251.789999999999","5"
"New York","Benjamin Green","9","4189.86","5"
"New York","Peter Scott","9","5585.86","5"
"New York","Henry Scott","9","5229.8099999999995","5"
"New York","Felix Turner","9","7378.799999999998","5"
"New York","Victor Davis","9","3309.77","5"
"North Carolina","Zackary Green","4","588.9200000000001","1"
"North Carolina","Ella Sanders","4","2539.91","1"
"North Carolina","William Green","3","299.91","2"
"North Carolina","Chloe Nelson","2","1339.98","3"
"North Carolina","Tina Johnson","2","1579.98","3"
"North Dakota","Daniel Young","9","7684.82","1"
"North Dakota","Xena Smith","9","1520.7700000000002","1"
"North Dakota","Abigail Wilson","6","4449.85","2"
"North Dakota","Ulysses Davis","3","279.97","3"
"North Dakota","Felix Carter","2","52.980000000000004","4"
"Ohio","Wendy Reed","387","226028.76000000065","1"
"Ohio","Ella Scott","344","229173.57000000047","2"
"Ohio","Isabella Davis","300","162992.1600000002","3"
"Ohio","Gina Davis","298","156355.25000000015","4"
"Ohio","Alicia Green","289","182915.23000000033","5"
"Oklahoma","William Smith","108","74075.02000000003","1"
"Oklahoma","Zackary Davis","105","74862.01000000008","2"
"Oklahoma","Chloe Reed","104","52762.16000000009","3"
"Oklahoma","Felix Smith","99","65339.13000000006","4"
"Oklahoma","Henry Turner","93","49965.120000000075","5"
"Oregon","Daniel Smith","92","50917.44000000003","1"
"Oregon","Gina Hill","91","60980.340000000026","2"
"Oregon","Xena Brown","91","50958.230000000076","2"
"Oregon","Abigail Johnson","88","52927.30000000005","3"
"Oregon","Isla Turner","78","51704.51000000007","4"
"Pennsylvania","Jake Cole","105","56540.22000000006","1"
"Pennsylvania","Ella Davis","95","49475.1500000001","2"
"Pennsylvania","Yara Davis","91","74691.55","3"
"Pennsylvania","Benjamin Brown","87","50430.47000000006","4"
"Pennsylvania","Henry Johnson","76","43475.70000000009","5"
"Rhode Island","Kayla Morris","102","71545.04000000008","1"
"Rhode Island","Isla Clark","102","49940.88000000007","1"
"Rhode Island","Chloe Adams","101","64809.11000000006","2"
"Rhode Island","Zackary Johnson","96","49781.15000000005","3"
"Rhode Island","Felix Johnson","89","50694.49000000005","4"
"South Carolina","Daniel Green","112","50924.94000000009","1"
"South Carolina","Abigail Reed","106","62574.78000000008","2"
"South Carolina","Leo Ramirez","101","39556.08000000007","3"
"South Carolina","Gina Brown","97","59955.130000000085","4"
"South Carolina","Jake Miller","93","56313.08000000006","5"
"South Dakota","Ella Reed","117","62693.500000000124","1"
"South Dakota","Henry Harris","112","64610.86000000004","2"
"South Dakota","Kayla Stewart","90","71801.44000000009","3"
"South Dakota","Benjamin Davis","89","54873.40000000005","4"
"South Dakota","Mia Collins","80","40032.24000000005","5"
"Tennessee","Leo Adams","114","70164.88000000003","1"
"Tennessee","Chloe Smith","110","70637.89000000009","2"
"Tennessee","Felix Scott","109","74629.99000000003","3"
"Tennessee","Isla Reed","92","47241.3700000001","4"
"Tennessee","Noah Murphy","87","46771.360000000066","5"
"Texas","Rachel Johnson","192","109557.35000000012","1"
"Texas","Jack Davis","185","110220.48999999999","2"
"Texas","Tara Reed","179","105581.62000000001","3"
"Texas","Olivia Barnes","114","74692.81000000007","4"
"Texas","Henry Davis","114","61207.78000000009","4"
"Texas","Patrick Rogers","109","58095.010000000075","5"
"Texas","Zackary Smith","109","58566.8900000001","5"
